Question,A,B,C,D,E
30. Выберите правильный ответ на вопрос: What is the capital of Georgia? ,A) Atlanta.,B) Annapolis.,C) Augusta.,D) Albany.,E) Austin. 
 1. Синонимом слова “Fast” является: ,A) Wise.,B) Slow.,C) Fear.,D) Quick.,E) Far. 
 2. Дополните предложение: … flat is nice but … bathroom is too small. ,A) The | a,B) A | a,C) - | -,D) a | the,E) The | the 
 3. Выберите правильное слово. It`s the … foot. ,A) dog’s,B) Doges’,C) of the dog,D) Dog’,E) of the dog’s 
 4. Поставьте глагол в предложении в Present Simple Tense. New Year’s Day … the time for making New Year resolutions. ,A) was.,B) is. ,C) am.,D) were.,E) are. 
 5. Дополните предложение: My mother … going to clean the floor. I want to help her. ,A) were,B) am,C) are,D) is,E) be 
" 6. Выберите слово, в котором выделенная буква читается отлично от других. ",A) Glade   ,B) Glass   ,C) Glitter,D) General ,E) Glad  
 7. Антоним слова “Large” ,A) Small,B) High,C) Heavy,D) Difficult,E) Tall
 8. Выберите правильный вариант переводa слова: Неаккуратный ,A) Tidy.,B) Untidy.,C) Imtidy.,D) Intidy.,E) Retidy. 
 9. Образуйте сложное слово: text                   ,A) book,B) yard,C) room ,D) day ,E) paper
10. Выберите правильный вариант местоимения в предложении: We live in Wales. ... parents live with ... . ,A) Theirs / our.,B) Our / they.,C) Mine / me.,D) Ours / we.,E) Our / us. 
11. Найдите множественное число слова “a boy”: ,A) Boyses,B) Boieses,C) Boyes,D) Boys,E) Boies
12. Выберите правильный вариант сказуемого: There … eight new words in this lesson. ,A) Is,B) Been,C) Am,D) Are,E) Was
"13. Определите, чем является подчёркнутое слово: Thank you for coming. ",A) инфинитивов,B) модальным глаголом,C) причастием,D) наречием,E) герундием 
14. Определите предложение с Participle I: ,A) We like buying ice–cream.,B) They want to buy tickets.,C) A young lady buying flowers is my aunt.,D) She bought a new dress last week.,E) He buys fruits every Sunday. 
15. Выберите фразовый глагол со значением «Заботиться»: ,A) To look after,B) Look out,C) To look before,D) To look up,E) To look in
16. Выберите нужный фразовый глагол: Please … the light. This room is dark. ,A) Turn right.,B) Turn off.,C) Turn on.,D) Turn left.,E) Turn. 
17. Переведите “Быть расположенным ”  ,A) To consist of,B) To be upset,C) To be lucky,D) To be separated,E) To be situated
18. Дайте определение слову hurry: ,A) To go to the cinema with one’s friends.,B) To be late.,C) To do something very quickly.,D) To catch a train.,E) To play with friends. 
19. Выберите указательное местоимение для предложения: Do you like ... apples? ,A) thise,B) the,C) these,D) that,E) this
20. Выберите правильную форму сказуемого: The workers will … … this school next year. ,A) Has built.,B) Be built.,C) Build.,D) Has build.,E) Have build. 
21. Выберите правильную форму сказуемого в страдательном залоге: Most schools … on Sunday(to close). ,A) Are close.,B) Are been close.,C) Are being closed.,D) Be closed.,E) Are closed. 
22. Определите название формы по приведенному примеру: To be going. ,A) Participle 2.,B) Indefinite Infinitive Active.,C) Participle 1.,D) Gerund.,E) Continuous Infinitive Active. 
"23. Прочитайте текст, выберите правильный ответ на вопрос: Charles has just entered school. “What is your name?” the teacher asked. “Charles”, was the answer. “Charles what?” the teacher questioned. “Oh, that’s all right,” the boy said, “”just call me Charles.” What has happened to Charles? ",A) He has become a pupil.,B) He entered the school by the side door.,C) He has been attending school for some months.,D) He has done the first homework.,E) He doesn’t want to enter school. 
24. Выберите правильный вариант ответа:  Which is the biggest state of the USA? ,A) Texas,B) Arizona ,C) Alaska,D) Florida,E) California
25. Дополните предложение: I think they know very (мало) English songs. ,A) a little,B) few,C) little,D) some,E) any
26. Найдите правильный вариант глагола. The burglars dropped a piece of paper with an address on it as they … out of the window. ,A) were climbing,B) climbed,C) climb,D) are climbing,E) have climbed
27. Найдите правильный вариант глагола. She said she … just … dinner. ,A) is cooking,B) had cooked,C) cook,D) cooks,E) has cooked
28. Выберите правильный вариант глаголов: I was sure that they … (to arrive) in the evening. ,A) would be arriving,B) would arrive,C) would have arrived,D) should have arrived,E) should arrive 
29. Глагол to have употреблен в качестве модального в предложении: ,A) They had no time to finish their work.,B) I had much money yesterday.,C) We did not have a rest the whole day.,D) Do you have to go to the market to buy fish or meat?,E) What did you have for dinner? 
30. Задайте вопрос к предложению: He used to wear glasses twenty years ago. ,A) Do he used to wear glasses twenty years ago? ,B) Did he use to wear glasses twenty years ago?,C) Used he to wear glasses twenty years ago?,D) Didn’t he used to wear glasses twenty years ago?,E) Does he used to wear glasses twenty years ago? 
 1. Антонимом слова “Dream” является: ,A) Possibility.,B) Success.,C) Luck.,D) Ability.,E) Reality. 
 2. Выберите правильный вариант артиклей. … Northern part of … state Michigan has many spots. ,"A) The, the.","B) An, the.","C) An, -.","D) A, a.","E) An, a. "
" 3. Укажите предложение, в котором “-s” является показателем притяжательного падежа. ",A) My uncle’s bought a sideboard.,B) He always greets people.,C) One boy’s mother made tasty  cookies.,D) The class teacher usually opens our meetings.,E) The Stogovs went to the Black Sea. 
 4. Выберите правильный вариант предложения в Past Simple Tense. ,A) Pupils run and jump at P.T. Lessons.,B) Ahmed phoned me yesterday.,C) My birthday will be on Sunday.,D) My friend has just come home.,E) We are reading now. 
 5. Вставьте  правильную форму глагола  Watch out!  You … knock the vase over. ,A) was going to,B) would,C) am going to,D) is going to,E) are going to 
 6. К теме Село относится слово: ,A) Harvest.,B) Rainy.,C) Supper.,D) Swimmer.,E) Break. 
 7. Образуйте существительное от глагола serve: ,A) Serve.,B) Servesation.,C) Servelity.,D) Servant.,E) Serventy. 
 8. Выберите верное местоимение: The music was so loud that I had to shout to make … . ,A) herself,B) myself,C) ourselves,D) himself,E) itself 
 9. Выберите верное местоимение. … books were read last year. ,A) It.,B) This.,C) That.,D) One.,E) Those. 
10. Выберите правильную  форму глагола “to be”: It ... a nice fairy-tale. ,A) Are.,B) Am.,C) Been.,D) Is.,E) Be. 
11. Выберите правильно построенное предложение: ,A) The doctor said that he will come the next day.,B) The doctor said that he would come the next day.,C) The doctor said that he shall come the next day.,D) The doctor said that he comes the next day.,E) The doctor said that he should come the next day. 
12. Найдите правильную форму сказуемого: There … a sports center in Moscow. ,A) Were,B) Been,C) Is,D) Are ,E) Be
13. Определите предложение с Participle II: ,A) They are still writing a test.,B) I don’t know the words written on the blackboard.,C) She wanted to write a letter to her granny.,D) We shall write you as soon as possible.,E) Nick wrote a report a week ago. 
14. Выберите правильный вариант ответа:  Where does the President of the USA live and work? ,A) in Congress,B) in the White House,C) in the Empire State Building,D) in the Pentagon,E) in the Supreme Court
"15. Выберите слово, в котором выделенное буквосочетание читается отлично от других слов: ",A) Earth.,B) Thousand.,C) Thunder.,D) Three.,E) Either. 
16. Выберите фразовый глагол со значением «Записывать»: ,A) To put up with,B) To put off,C) To put on,D) To put down,E) To put out
17. Найдите предложение с фразовым глаголом:  ,A) I usually read books in the evening.,B) I have lunch at 12 o’clock.,C) I go to work by bus.,D) I come home at 7 o’clock. ,E) I get up at seven every morning. 
18. Дополните предложение: He ... his brother’s example. ,A) follows,B) learn,C) advice,D) appearance,E) suffers
19. Дайте определение слову expensive: ,A) Costing a lot of money.,B) A very rich person.,C) A beautiful thing.,D) A fine weather.,E) A good mark at school. 
20. Закончите предложение:  The weather was ... . ,A) nicely.,B) brightly.,C) bad.,D) badly.,E) well. 
21. Выберите правильный вариант множественного числа существительного: Fire-place ,A) Fire-places.,B) Fires-place.,C) Fires-places.,D) Firies-places.,E) Fire-place. 
"22. Вставьте необходимое сочетание с модальным глаголом: You look tired. Yes, I ... last night. ",A) can not sleep,B) can’t sleep,C) couldn’t sleep,D) could sleep,E) can sleep
23. Определите название формы по приведенному примеру: To have gone. ,A) Participle 1.,B) Gerund.,C) Perfect Infinitive Active.,D) Participle 2.,E) Indefinite Infinitive Active. 
"24. Прочитайте текст и выберите подходящий заголовок:    After the War of Independence the USA needed a capital city. It was difficult to choose it because different cities in different parts of the country wanted to be the nation’s capital. In the end it was decided to build a new city. In 1791 George Washington, the first president, chose the place where the city now stands. He thought it was a good place because the Potomac River was large enough for ships to come as far as the site of the city. The land round the city was called the District of Columbia, after Christopher Columbus; and the city on it was named Washington, in honour of the country’s first president.   ",A) The War of Independence.,B) The discovery of America.,C) Different cities of America.,D) From the history of the capital.,E) The first President. 
25. Выберите правильный вариант местоимения: … is giving our secret information. The enemy knows about our plans. ,A) Nothing,B) Nobody,C) Something,D) Somebody,E) Anybody 
26. Найдите правильный вариант глагола. When the film started the children … in the living room. ,A) Has played,B) Play,C) Played ,D) Had playing,E) Were playing
27. Выберите правильную форму сказуемого: He … … her since 1982. ,A) Has known.,B) Had known.,C) Will have known.,D) Has knew.,E) Have known. 
28. Выберите правильный перевод предложения в страдательном залоге: Ему показали дорогу. ,A) Him was shown the way.,B) He was show the way.,C) He was showed the way.,D) He was shown the way.,E) He showed the way. 
29. Задайте специльный вопрос к предложению: I used to read a lot of books. ,A) Did I used to read a lot of books?,B) When did I use to read a lot of books?,C) Why do I used to read a lot of books?,D) Did I used read a lot of books?,E) Do I used to read a lot of books? 
30. Вставьте в предложение глагол в соответствующей форме: It’s no use (worry) about it. ,A) to have worried,B) to worried,C) worrying,D) to been worried,E) worry
 1. Выберите правильный вариант артиклей. … White House is … home of …  president. ,"A) -, the, a.","B) The, the, -.","C) -, the, -.","D) The, the, the.","E) A, an, -. "
" 2. Выберите  существительное, употребляющиеся только в форме множественного числа. ",A) share.,B) size.,C) secret.,D) fear.,E) clothes. 
" 3. Поставьте глаголы в предложении в Past Simple Tense. Yesterday my brother … at the cinema, I … also there. ","A) was, were.","B) were, am.","C) are, is.","D) was, was.","E) is, am. "
 4. Найдите предложение в Present Continuous Tense. ,A) You can see with your own eyes everything.,B) The tickets are too expensive.,C) They are playing football in the yard now.,D) Moscow is a port of five seas.,E) Dad hasn’t forgotten his promise. 
 5. Выберите правильный вариант сказуемого. There … many wild animals in Australia. ,A) Am.,B) Are.,C) Is.,D) Be.,E) Was. 
 6. Выберите правильный вариант переводa слова: Несчастный ,A) Imhappy.,B) Rehappy.,C) Unhappy.,D) Inhappy.,E) Happy. 
 7. Выберите верное местоимение. My father gave me that book … . ,A) Itself.,B) Yourself. ,C) Myself.,D) Herself.,E) Himself. 
 8. Выберите верное местоимение. … is a large house. ,A) Those.,B) This.,C) None.,D) Its.,E) These. 
 9. Выберите притяжательную форму существительного в единственном числе. ,A) Planes’,B) Dogs’,C) Neighbours’,D) Plants’,E) Aunt’s
10. Выберите правильный вариант глагола:  Mary … just …fresh newspaper to her father. ,A) has … bring,B) has … brought,C) have … bring,D) have …brought,E) have … brings 
11. Найдите правильный вариант перевода:      Он не собирается идти домой. ,A) He isn’t going  to go home,B) He is going to go home,C) He is going home now,D) He’ll go home soon,E) He isn’t  going home now
12. Выберите правильный вариант.  I like … . ,A) Drawing.,B) Draws.,C) Drawn.,D) Draw.,E) Drew. 
13. Выберите предложение с Participle I: ,A) They sang a lot yesterday.,B) I enjoy singing pop – songs.,C) Mr. Marat listened to the girls singing Kazakh folk songs. ,D) They usually sing on weekends.,E) He has just sung this part. 
14. Выберите правильный ответ. The Scottish lake in which there is supposed to be a monster is … ,A) Lake Erie,B) Lake Huron,C) Lake Michigan,D) Lake Superior,E) Loch Ness
15. Выберите слово с третьим типом слога:  ,A) More.,B) Place.,C) Pupil.,D) Observe.,E) Visit. 
16. Aнтонимoм  слова “Joy”является : ,A) Beauty,B) Laughter,C) Smile,D) Happiness,E) Grief
17. Выберите верное окончание для словосочетания: A bottle of... ,A) butter.,B) honey.,C) oil.,D) cream.,E) sugar. 
"18. Выберите правильный вариант фразового глагола “to put”: Don ’t forget … your scarf …, please.  ",A) to put … in.,B) to put … to.,C) to put… down.,D) to put … on.,E) to put…after. 
19. Закончите предложение: To come back means to ... ,A) return.,B) go on foot.,C) go by bus.,D) come late.,E) come in time. 
20. Переведите: Заниматься спортом ,A) To go in for sport.,B) To have sport.,C) To study sport.,D) To learn sport.,E) To sport. 
"21. Выберите слово с суффиксом, обозначающим процесс или результат действия: ",A) Organization.,B) Writer.,C) Easily.,D) Helpless.,E) Reader. 
22. Выберите правильный модальный глагол. I … skate and ski very well. ,A) Be able to,B) Can,C) Was,D) Must to,E) Were to
23. Вставьте глагол в соответствующей форме:  Tell her what you would like her (do). ,A) to have do.,B) do.,C) doing.,D) to do.,E) to be doing. 
"24. Прочитайте текст, выберите правильный ответ на вопрос: A very rich man asked a famous artist to draw something for him in his album. The artist did so, and asked for one hundred dollars. “Why!” cried the rich man. “It took you only five minutes to do it!” “Yes,” answered the artist. “But it took me twenty years to learn how to do it in five minutes.” Why did the famous artist ask for money for his work? ",A) It took him five minutes to learn how to draw.,B) It had taken him five minutes to learn how to do albums.,C) It had taken him twenty years to draw money.,D) It had taken him twenty minutes to learn how to ask for money.,E) It had taken him twenty years to learn how to draw. 
25. Дополните предложение: They ... sausages at this shop. ,A) cost,B) price,C) bring,D) sell,E) department
26. Найдите правильное местоимение: In Kazakhstan there is only one lake … I haven’t visited yet. ,A) Which.,B) What.,C) Whom.,D) Who.,E) Whose. 
27. Найдите правильный вариант глагола: The biggest event in Tom’s life … by chance. ,A) happens,B) happened,C) was happening,D) has happen,E) has been happening
28. Выберите правильный вариант: He answered he … when he … the answer. ,A) will phone / would know,B) would phone / knew,C) phoned / knew,D) will phone / knows,E) would phone / would know
29. Найдите правильный вариант глагола. At this very moment the suspect . . . by the police. ,A) had been interviewed,B) is interviewed,C) is being interviewed,D) was interviewed,E) has been interviewed
30. Поставьте предложение в отрицательную форму: David used to work at the factory. ,A) David not used to work at the factory.,B) David don’t used to work at the factory.,C) David didn’t use to work at the factory.,D) David used to didn’t work at the factory.,E) David doesn’t used to work at the factory. 
 1. Синонимом слова “Sad” является: ,A) Bright.,B) Clever.,C) Happy.,D) Merry.,E) Dull. 
 2. Выберите правильное слово Where is … cat? ,A) –,B) some,C) the,D) a,E) an
 3. Существительное во множественном числе. ,A) welf,B) wolves,C) wolf,D) wolfs,E) wolfes 
 4. Дополните предложение: How are you? – I … all right. ,A) were,B) am,C) been,D) are,E) was 
 5. Дополните предложение: What … you going to be when you leave school? ,A) were,B) is,C) are,D) was,E) am 
" 6. Выберите слово, в котором выделенное буквосочетание читается отлично от других слов: ",A) Beat.,B) Teacher.,C) Meat.,D) Clean.,E) Heavy. 
 7. Выберите правильный вариант предлога: Go … reading the story. I want to know its end. ,A) In.,B) About.,C) Out.,D) On.,E) Through. 
 8. К теме Село относится слово: ,A) Wheat.,B) Supper.,C) Swimmer.,D) Rainy.,E) Break. 
" 9. Дополните предложение, вставив нужное местоимение: Did you meet ... on your way home?  ",A) anybody,B) some,C) nobody,D) none,E) any
10. Вставьте правильный вариант вспомогательного глагола: It … snowing the whole day yesterday. ,A) are,B) have,C) was,D) shall,E) be 
11. Выберите правильное сказуемое: The train … at the station by 4 o’clock yesterday. ,A) had arrived,B) have arrive,C) has arrive,D) have arrives,E) have arrived 
12. Выберите правильный вариант перевода на русский язык: Во дворе много деревьев. ,A) There were no trees in the yard.,B) There many trees in the yard.,C) Many trees were in the yard. ,D) There are many trees in the yard. ,E) There are no trees in the yard. 
13. Выберите страдательный залог герундия в несовершенном времени на примере следующего глагола: To write ,A) be writing,B) write,C) being written,D) writing,E) having been written
14. Выберите верное причастие: The ... day ,A) Followned.,B) Following.,C) Followeded.,D) Followning.,E) Followeding. 
"15. Найдите прилагательное, имеющее отрицательное значение: ",A) dependent ,B) useful ,C) regular,D) indefinite ,E) understandable
16. Образуйте прилагательное при помощи суффикса: Interest ,A) ly,B) ing,C) ful,D) able,E) y
"17. Выберите верный вариант местоимений: How are … children? – Fine, thanks. How are …? ",A) Your / yours.,B) Yours / yours.,C) Yours / my.,D) Your / your.,E) Yours / your. 
18. Выберите правильный вариант вопросительного местоимения: By … is this book written? ,A) What.,B) Which.,C) Whose.,D) Whom.,E) Who. 
19. Дополните предложение существительным в притяжательном падеже:  Do you know my ... husband? ,A) siste’s,B) sister’s,C) sister,D) sisters’s,E) sisters
20. Выберите правильный вариант сказуемого: We … institute every Friday. ,A) Has attended.,B) Was attended.,C) Is attending.,D) Attending.,E) Attend. 
21. Выберите правильный вариант: We were told that the train … five minutes later. ,A) will arrive,B) had been arriving,C) would be arrivе,D) has arrived,E) would arrive
22. Выберите правильную форму глагола в страдательном залоге: He (to send) for the doctor. ,A) Are send.,B) Was sent.,C) Is send.,D) Are sent.,E) Have been sent. 
"23. Закончите предложение : When I was younger, I … play tennis quite well. ",A) Used to,B) Used,C) Am used to,D) To be used to,E) To get used to
"24. Прочтите текст и ответьте на вопрос после текста: The famous composer Rakhmaninov was also a very good pianist. When he was a small boy he was asked to play at a home party at their friends’ place. Though he was only eight he was quite experienced in playing the piano and did it well. At that concert he was to play one of Beethoven’s sonatas. It must be mentioned that there are several very long intervals in that sonata. In each of these intervals the boy took his hands off the keyboard and waited. During one of these intervals the old mother of the hostess came up to him and said, «My boy, why don’t you play anything that you know very well?»  Why did the boy stop playing several times?  ",A) because he didn’t remember the sonata,B) because he was tired,C) because the sonata had some long intervals,D) because the sonata had some short intervals,E) because he was mistaken
25. Переведите “To be keen on ”  ,A) Держать на уровне.,B) Быть честным.,C) Находить удовольствие.,"D) Страстно желать, увлекаться чем-либо.",E) Обладать хорошим слухом. 
26. Выразите одним словом: You send them to your relatives on holidays. ,A) Sorrows.,B) Bags.,C) Clouds.,D) Children.,E) Postcards. 
27. Закончите фразеологизм: To … oneself together. Взять себя в руки. ,A) Get.,B) Give.,C) Pull.,D) Take.,E) Put. 
28. Найдите эквивалент: Она должна прийти. ,A) She needn’t come. ,B) Can she come?,C) She should have come in time. ,D) She had to come in time. ,E) She is to come. 
29. Инфинитив является сложным подлежащим в предложении: ,A) I’m pleased to have met him.,B) I saw him read this book.,C) I am not in the mood to dance.,D) He is said to be a very talented actor.,E) He asked me not to be late. 
"30. Выберите подходящий русский эквивалент к слову “freshman”  In American English, freshman means … . ",A) первокурсник,B) вновь прибывший,C) выпускник,D) новичок в деле,E) второкурсник
 1. Синонимом слова “Smart” является: ,A) Coward.,B) Dirty.,C) Tall.,D) Bright.,E) Bald. 
 2. Выберите правильный вариант артиклей. They placed … box on … table. ,"A) The, an.","B) The, the.","C) -, -.","D) -, the.","E) An, a. "
 3. Множественное число существительного к слову: a watch. ,A) Watches.,B) Watchiez.,C) Watchs.,D) Watchis.,E) Watchies. 
 4. Дополните предложение: I opened the fridge. There … much food there. ,A) been,B) are,C) was,D) were,E) be 
 5. Дополните предложение: Where … you going when you met your friend in the street yesterday? ,A) been,B) are,C) were,D) is,E) was 
" 6. Выберите слово, в котором выделенная буква читается отлично от других слов: ",A) Cemetery.,B) Catch.,C) Centre.,D) Certainly.,E) Celebrate. 
 7. Обобщающим для данной группы слов является слово: ,A) Climate.,B) Rain.,C) Cloud.,D) Snow.,E) Ice. 
" 8. Дополните пословицу: East or West, … is best. ",A) South.,B) School.,C) Shopping.,D) Rest.,E) Home. 
" 9. Найдите глагол, образованный при помощи префикса: ",A) electrify,B) realize,C) locate,D) graduate,E) reconstruct
10. Вставьте пропущенное местоимение: … artist has a great talent. ,A) they,B) these,C) them,D) those,E) this 
11. Выберите верное местоимение: Is there … apples in the basket? ,A) some,B) no,C) any,D) nothing,E) anything 
12. Выберите правильный вариант глагола:  Mary … just …fresh newspaper to her father. ,A) has … brought,B) has … bring,C) have …brought,D) have … bring,E) have … brings 
13. Выберите правильно построенное предложение: ,A) He said that he would return tomorrow.,B) He said that he shall return tomorrow.,C) He said that he should return tomorrow.,D) He said that he will return tomorrow.,E) He said that he return tomorrow. 
"14. Определите, чем является подчёркнутое слово: The girl washing the floor is my sister. ",A) инфинитивом,B) герундием,C) наречием,D) причастием,E) модальным глаголом 
15. Дополните фразу: To go to the lectures means ... them. ,A) to attend,B) to learn,C) to write,D) to come from,E) to look
16. Дополните предложение: Not to catch the train means to ... it. ,A) miss,B) like,C) have,D) buy,E) sell
17. Найдите имя прилагательное: ,A) badly,B) slow,C) beauty,D) nineteen,E) read
18. Дополните предложение: That’s the house ... we stayed in May. ,A) when,B) which,C) what,D) where,E) who
19. Дополните предложение существительным в притяжательном падеже This is his…friend. ,A) Daughters’s,B) Daughter’s,C) Daughter,D) Daughters,E) Daughteres
20. Выберите правильный вспомогательный глагол в предложении: ... you meet her at the station? ,A) Was,B) Are,C) Will,D) Have,E) Does
21. Выберите верный вариант отрицания к данному предложению: He used to do everything his mother said. ,A) He used to not do everything his mother said.,B) He didn’t used to do everything his mother said.,C) He not used to do everything his mother said.,D) He didn’t use to do everything his mother said.,E) He didn’t use do everything his mother said. 
22. Образуйте форму Gerund от глагола have: ,A) To have had.,B) To have.,C) To be having.,D) To have been having.,E) Having. 
23. Вставьте в предложение глагол в соответствующей форме: Nick used (live) alone.  ,A) having lived,B) living,C) to be living,D) to live,E) live
"24. Прочитайте текст и выполните задание после текста: Mr. Nelson wanted to be elected sheriff in a New Hampshire county. He went from farm to farm asking people to vote for him. Mrs. Marrow saw him coming up one day and reached for the broom. Get off, you good-for-nothing loafer, she shouted. But Mrs. Marrow, said Nelson. I have just come to ask you if you’ll vote for me for sheriff. Sheriff! shouted Mrs. Marrow. Your place is in the lockup, not in the sheriff’s office. You are a scoundrel, and your father was a scoundrel, and your grandfather was a scoundrel. Get out of here before I take this broom to you. Nelson decided to go. Before climbing back into the car,he took out his notebook and wrote, after the name of Marrow, one word: Doubtful. Выберите заголовок к тексту: ",A) Mr. Nelson and a Scoundrel.,B) Mrs. Marrow Is a Sheriff.,C) He Wants to Be a Sheriff. ,D) The Last Elections. ,E) How to Become a President. 
25. Выберите антоним к подчеркнутому слову: The damp climate of this country made my cough very strong.   ,A) wet,B) humid,C) raw,D) dry,E) moist
26. Выберите правильную форму глагола “to be”: Zulfiya … to have made a report on psychology previous Thursday.  ,A) were,B) isn’t,C) weren’t,D) is,E) was
27. Найдите правильный вариант глагола. I woke up and found out that water … through the ceiling. ,A) has poured,B) has been pouring,C) is pouring,D) poured,E) was pouring
28. Выберите правильную форму глагола в страдательном залоге: The patient (to take) to hospital last Friday. ,A) Take.,B) Was took.,C) Was taken.,D) Were taken.,E) Was take. 
29. Заменитe выделенное модальное выражение его эквивалентом:  The conference is to begin next Tuesday ,A) can,B) must,C) might,D) should ,E) could 
30. Закончите предложение:  A jack is an old name for ... ,A) a village,B) a sailor,C) a city,D) a tower,E) a danger
 1. Выберите предлог противоположный предлогу: up. ,A) At.,B) Down.,C) On.,D) In.,E) Under. 
" 2. Выбери слово, противоположное по смыслу слову “Enter”: ",A) Insert.,B) Arrive.,C) Leave.,D) Come in.,E) Able. 
 3. Выберите правильный вариант артиклей. … potatoes are grown everywhere in … British Isles. ,"A) -, a.","B) A, the.","C) -, the.","D) A, an.","E) An, the. "
 4. Найдите существительное в единственном числе. ,A) pages.,B) hobbies.,C) stories.,D) feet.,E) advice. 
 5. Дополните предложение: The child was glad. There … many animals in the Zoo. ,A) is,B) was,C) are,D) to be,E) were 
 6. Окончание читается отлично от других в слове: ,A) Wanted.,B) Waited.,C) Expected.,D) Needed.,E) Developed. 
 7. Выразите одним словом: People go in for sports there. ,A) Wood.,B) Basket.,C) Mountains.,D) School.,E) Stadium. 
 8. Выберите правильный английский эквивалент данной пословицы: Плохая молва летит на крыльях. ,A) Appetite comes with eating.,"B) No pains, no gains.",C) Bad news travels fast.,D) Look before you leap.,E) It never rains but it pours. 
 9. Выберите правильный вариант перевода слова: Перестройка ,A) Construction.,B) Inconstruction.,C) Disconstruction.,D) Reconstruction.,E) Unconstruction. 
10. Образуйте прилагательное при помощи суффикса: Use ,A) word,B) ic,C) ly,D) less,E) ous
11. Выберите верное местоимение: Be careful! They are looking at …  . ,A) Our.,B) We.,C) I.,D) Us.,E) Ours. 
12. Дополните предложение:  Is there ... in the room? ,A) anybody,B) nobody's,C) no,D) nothing's,E) anywhere
13. Выберите правильный ответ: Is Tom going to play on the bridge? ,"A) No, she isn’t.","B) Yes, he will.","C) Yes, he is.","D) Yes, it is.","E) Yes, she is. "
14. Определите предложение с Participle I: ,A) He buys fruits every Sunday.,B) A young lady buying flowers is my aunt.,C) She bought a new dress last week.,D) They want to buy tickets.,E) We like buying ice–cream. 
"15. Выберите фразовый глагол со значением ""выходить"": ",A) Get out.,B) Get from.,C) Get with.,D) Get over.,E) Get alone. 
16. Дополните предложение: She ... from her illness. ,A) is fond of,B) enjoys,C) suffers,D) is interesting,E) likes
17. Выберите указательное местоимение для предложения: Do you like ... apples? ,A) the,B) that,C) these,D) thise,E) this
18. Выберите правильный вариант притяжательной формы существительного: Arman Bolatovich is our … friend. ,A) Family’s.,B) Family.,C) Familys.,D) Familie’s.,E) Families. 
19. Выберите правильную форму глагола “to be”: My brother and I … born in Almaty. ,A) were,B) am,C) was,D) been,E) is 
20. Выберите правильную форму сказуемого: The workers will … … this school next year. ,A) Has built.,B) Have build.,C) Has build.,D) Be built.,E) Build. 
21. Выберите правильное отрицательное предложение: I have to make a telephone call. ,A) I don’t have to make a telephone call.,B) I had not to make a telephone call.,C) I doesn’t have to make a telephone call.,D) I not have to make a telephone call.,E) I haven’t make a telephone call. 
22. Поставьте предложение в отрицательную форму: Ann used to have a piano. ,A) Ann used to haven’t a piano.,B) Ann use not to have a piano.,C) Ann doesn’t used to have a piano.,D) Ann didn’t use to have a piano.,E) Ann don’t use to have a piano. 
23. Выберите предложение с Герундием: ,A) She is ringing to her best friend.,B) Thank you for ringing me up!,C) He rang me yesterday.,"D) Ring me up, please!",E) Your ring is very unexpected. 
24. Выберите правильный вариант ответа:  Which is the biggest state of the USA? ,A) Florida,B) Alaska,C) Texas,D) California,E) Arizona 
25. Найдите правильный вариант глагола. They stood under the shelter because it … . ,A) was raining,B) has rained ,C) have been raining,D) rained,E) rains
26. Найдите правильный вариант глагола. He was tired. He … 5 km. ,A) had ski,B) had skied,C) skies,D) has skying,E) was skied
27. Укажите правильный вариант сказуемого: He said he … the report by 8 o’clock. ,A) Would had finished.,B) Will finish.,C) Should have finished.,D) Will have finished.,E) Would have finished. 
28. Выберите правильный перевод предложения в страдательном залоге: Фильм был снят в этом году. ,A) The film have been made this year.,B) The film has made this year.,C) The film have made this year.,D) The film has been made this year.,E) The film was make this year. 
29. Выберите верный перевод: The train is reported to have arrived on time. ,"A) Сообщили, что поезд прибывает вовремя.","B) Сообщают, что поезд прибыл вовремя.","C) Поезду сообщили, что он прибудет вовремя. ","D) Поезд сообщил, что он прибыл вовремя.","E) Поезду сообщили, что он прибыл вовремя. "
"30. Прочитайте текст, выберите правильный ответ на вопрос: Mark Twain once said, “When I was a boy of 14, I thought that my father was the most ignorant of all men. But when I got to be 21, I was surprised at how much the old man had learned in seven years.” What did Mark Twain think about his father? ",A) He was a boy of 14.,B) He ignored all men.,C) He got to be 21.,D) He knew very little.,E) He was surprised. 
" 1. Выберите слово, противоположное по значению: poor. ",A) Rich.,B) Wide.,C) Silly.,D) Various.,E) Dull. 
 2. Дополните предложение: … year ago he was in … 10-th form. ,A) The | the,B)  - | the,C) A | the,D) A | -,E) A | a 
 3. Выберите существительное во множественном числе. ,A) Knives.,B) Knivs.,C) Knivies,D) Knifes.,E) Knifs. 
 4. Дополните предложение: It was … new coat. ,A) Victor’s Nicolaevich’s,B) Victor Nicolaevich’s,C) Victor Nicolaevichs,D) Victor’s Nicolaevich,E) Victors Nicolaevich 
 5. Дополните предложение: Look! There … a book on the table. ,A) were,B) is,C) was,D) are,E) am 
" 6. Выберите слово, в котором выделенная буква читается отлично от других. ",A) Geese,B) Gaze   ,C) Garden,D) Gate  ,E) Gentle   
 7. Выберите антоним к слову: “Teacher” ,A) Engineer.,B) Doctor.,C) Worker.,D) Student.,E) Driver. 
 8. Закончите фразеологизм: … hurts more than truth. Ничто не ранит больнее правды. ,A) Nothing.,B) Everything.,C) Something.,D) No.,E) Anything. 
